show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,popularity_score
s22,Movie,Show Title 22,Director 22,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8, Actor 9",United Kingdom,"January 15, 1996",1996,R,111 min,Comedy,A generic description of the show content.,84.7
s23,Movie,Show Title 23,Director 23,"Actor 0, Actor 1",India,"January 3, 1994",1994,TV-MA,136 min,"Drama, Sci-Fi, Documentary",A generic description of the show content.,55.8
s24,Movie,Show Title 24,Director 24,"Actor 0, Actor 1",India,"January 13, 2016",2015,R,87 min,Thriller,A generic description of the show content.,91.1
s25,Movie,Show Title 25,Director 25,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",United Kingdom,"January 2, 2023",2021,TV-PG,99 min,Action,A generic description of the show content.,100.0
s26,Movie,Show Title 26,Director 26,"Actor 0, Actor 1, Actor 2, Actor 3",United States,"January 2, 1995",1993,PG-13,154 min,"Documentary, Sci-Fi",A generic description of the show content.,56.0
s27,TV Show,Show Title 27,Director 27,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",United States,"January 19, 1996",1994,PG-13,4 Season,"Drama, Documentary",A generic description of the show content.,79.8
s28,Movie,Show Title 28,Director 28,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6",India,"January 8, 2024",2023,R,120 min,"Comedy, Romance",A generic description of the show content.,100.0
s29,Movie,Show Title 29,Director 29,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8",United Kingdom,"January 20, 2021",2019,PG-13,120 min,Drama,A generic description of the show content.,100.0
s30,Movie,Show Title 30,Director 30,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6",United States,"January 10, 2006",2006,R,96 min,"Drama, Comedy",A generic description of the show content.,92.0
s31,TV Show,Show Title 31,Director 31,"Actor 0, Actor 1, Actor 2",United Kingdom,"January 5, 2024",2023,PG-13,1 Season,"Sci-Fi, Documentary, Action",A generic description of the show content.,100.0
s32,TV Show,Show Title 32,Director 32,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6",United Kingdom,"January 7, 2001",1999,TV-14,5 Season,"Documentary, Comedy",A generic description of the show content.,82.4
s33,Movie,Show Title 33,Director 33,"Actor 0, Actor 1",United States,"January 11, 1993",1993,TV-14,91 min,"Thriller, Action, Drama",A generic description of the show content.,57.9
s34,Movie,Show Title 34,Director 34,"Actor 0, Actor 1, Actor 2",India,"January 23, 2017",2017,TV-PG,151 min,Drama,A generic description of the show content.,100.0
s35,Movie,Show Title 35,Director 35,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",United States,"January 12, 1999",1999,TV-14,135 min,Drama,A generic description of the show content.,73.3
s36,Movie,Show Title 36,Director 36,"Actor 0, Actor 1, Actor 2, Actor 3",United States,"January 8, 1996",1996,TV-MA,125 min,"Sci-Fi, Thriller, Documentary",A generic description of the show content.,74.1
s37,TV Show,Show Title 37,Director 37,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",United States,"January 6, 2013",2011,PG-13,7 Season,"Sci-Fi, Romance, Comedy",A generic description of the show content.,78.9
s38,Movie,Show Title 38,Director 38,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8",United States,"January 12, 2021",2020,TV-MA,108 min,Sci-Fi,A generic description of the show content.,100.0
s39,Movie,Show Title 39,Director 39,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",United Kingdom,"January 12, 2017",2015,TV-PG,122 min,"Sci-Fi, Drama",A generic description of the show content.,100.0
s40,Movie,Show Title 40,Director 40,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",South Korea,"January 6, 2026",2024,TV-14,122 min,Drama,A generic description of the show content.,100.0
s41,Movie,Show Title 41,Director 41,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8, Actor 9",India,"January 4, 2013",2012,TV-PG,173 min,"Thriller, Documentary",A generic description of the show content.,100.0
s42,Movie,Show Title 42,Director 42,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6",United States,"January 14, 2017",2017,TV-14,80 min,"Sci-Fi, Documentary, Comedy",A generic description of the show content.,100.0
s43,Movie,Show Title 43,Director 43,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7",United Kingdom,"January 11, 1998",1997,TV-14,172 min,"Documentary, Action",A generic description of the show content.,83.5
s44,Movie,Show Title 44,Director 44,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",United States,"January 13, 2016",2014,PG-13,166 min,"Comedy, Documentary, Romance",A generic description of the show content.,88.2
s45,Movie,Show Title 45,Director 45,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",United States,"January 17, 2011",2010,TV-MA,139 min,"Thriller, Romance",A generic description of the show content.,87.8
s46,Movie,Show Title 46,Director 46,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",United States,"January 8, 2011",2011,TV-MA,91 min,Romance,A generic description of the show content.,93.9
s47,Movie,Show Title 47,Director 47,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7",United States,"January 21, 2022",2020,TV-MA,158 min,Thriller,A generic description of the show content.,100.0
s48,TV Show,Show Title 48,Director 48,"Actor 0, Actor 1",United States,"January 25, 2015",2015,R,4 Season,Romance,A generic description of the show content.,99.9
s49,Movie,Show Title 49,Director 49,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",Japan,"January 28, 2023",2023,R,139 min,Documentary,A generic description of the show content.,96.9
s50,Movie,Show Title 50,Director 50,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8, Actor 9",India,"January 14, 2025",2023,R,151 min,"Action, Thriller, Documentary",A generic description of the show content.,100.0
s51,TV Show,Show Title 51,Director 51,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",United Kingdom,"January 25, 2022",2020,R,8 Season,"Sci-Fi, Comedy",A generic description of the show content.,100.0
s52,Movie,Show Title 52,Director 52,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6",United States,"January 11, 1996",1994,PG-13,171 min,"Comedy, Action",A generic description of the show content.,73.2
s53,Movie,Show Title 53,Director 53,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7",United States,"January 14, 2000",1999,TV-PG,170 min,Drama,A generic description of the show content.,95.6
s54,Movie,Show Title 54,Director 54,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7",United States,"January 16, 2016",2016,TV-14,129 min,"Romance, Drama, Documentary",A generic description of the show content.,100.0
s55,Movie,Show Title 55,Director 55,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",United States,"January 16, 2016",2016,TV-14,148 min,"Romance, Documentary, Sci-Fi",A generic description of the show content.,100.0
s56,Movie,Show Title 56,Director 56,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8",United States,"January 5, 2013",2011,TV-PG,165 min,"Sci-Fi, Thriller, Comedy",A generic description of the show content.,96.1
s57,Movie,Show Title 57,Director 57,"Actor 0, Actor 1, Actor 2, Actor 3",United States,"January 2, 1992",1991,R,90 min,"Thriller, Comedy, Sci-Fi",A generic description of the show content.,61.4
s58,Movie,Show Title 58,Director 58,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",India,"January 27, 2011",2011,R,177 min,"Action, Thriller",A generic description of the show content.,100.0
s59,Movie,Show Title 59,Director 59,"Actor 0, Actor 1",India,"January 8, 2012",2012,PG-13,108 min,"Drama, Romance, Sci-Fi",A generic description of the show content.,100.0
s60,Movie,Show Title 60,Director 60,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",United States,"January 15, 2022",2020,TV-14,165 min,Documentary,A generic description of the show content.,100.0
s61,TV Show,Show Title 61,Director 61,"Actor 0, Actor 1",United States,"January 10, 1999",1997,R,3 Season,"Drama, Documentary",A generic description of the show content.,72.6
s62,Movie,Show Title 62,Director 62,"Actor 0, Actor 1, Actor 2",United Kingdom,"January 23, 1995",1994,TV-PG,155 min,"Sci-Fi, Romance, Comedy",A generic description of the show content.,55.9
s63,TV Show,Show Title 63,Director 63,"Actor 0, Actor 1, Actor 2",United Kingdom,"January 17, 1994",1992,TV-14,6 Season,"Thriller, Romance, Action",A generic description of the show content.,57.0
s64,Movie,Show Title 64,Director 64,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8",India,"January 23, 2021",2021,R,93 min,"Action, Romance",A generic description of the show content.,100.0
s65,Movie,Show Title 65,Director 65,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7",India,"January 27, 2009",2007,TV-PG,158 min,"Sci-Fi, Thriller, Romance",A generic description of the show content.,100.0
s66,Movie,Show Title 66,Director 66,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7",Japan,"January 11, 1995",1995,R,115 min,"Comedy, Thriller",A generic description of the show content.,77.8
s67,TV Show,Show Title 67,Director 67,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",United States,"January 18, 2003",2003,TV-PG,6 Season,"Action, Sci-Fi",A generic description of the show content.,100.0
s68,TV Show,Show Title 68,Director 68,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8",United States,"January 15, 2016",2016,PG-13,8 Season,"Sci-Fi, Comedy, Thriller",A generic description of the show content.,100.0
s69,Movie,Show Title 69,Director 69,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8, Actor 9",India,"January 17, 2006",2005,R,119 min,"Documentary, Action, Thriller",A generic description of the show content.,96.0
s70,TV Show,Show Title 70,Director 70,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",India,"January 4, 2014",2012,TV-MA,8 Season,"Action, Sci-Fi",A generic description of the show content.,100.0
s71,Movie,Show Title 71,Director 71,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8",United Kingdom,"January 9, 2003",2001,TV-PG,104 min,Romance,A generic description of the show content.,100.0
s72,TV Show,Show Title 72,Director 72,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",India,"January 12, 2008",2008,TV-14,2 Season,Action,A generic description of the show content.,96.6
s73,Movie,Show Title 73,Director 73,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",India,"January 23, 2007",2007,R,85 min,Documentary,A generic description of the show content.,100.0
s74,Movie,Show Title 74,Director 74,"Actor 0, Actor 1, Actor 2, Actor 3",United States,"January 2, 2009",2008,R,140 min,"Thriller, Action",A generic description of the show content.,68.8
s75,Movie,Show Title 75,Director 75,"Actor 0, Actor 1, Actor 2, Actor 3",United States,"January 5, 2023",2021,TV-14,89 min,"Romance, Sci-Fi, Drama",A generic description of the show content.,100.0
s76,Movie,Show Title 76,Director 76,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8, Actor 9",United States,"January 13, 2017",2016,R,157 min,"Sci-Fi, Documentary, Comedy",A generic description of the show content.,100.0
s77,Movie,Show Title 77,Director 77,"Actor 0, Actor 1, Actor 2",India,"January 25, 2017",2017,TV-MA,119 min,"Documentary, Drama, Sci-Fi",A generic description of the show content.,100.0
s78,Movie,Show Title 78,Director 78,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7",United States,"January 15, 2007",2005,TV-PG,102 min,"Drama, Comedy, Sci-Fi",A generic description of the show content.,99.4
s79,Movie,Show Title 79,Director 79,"Actor 0, Actor 1, Actor 2",United States,"January 22, 2008",2008,TV-14,170 min,"Romance, Thriller",A generic description of the show content.,68.1
s80,TV Show,Show Title 80,Director 80,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",United Kingdom,"January 21, 2002",2002,TV-14,7 Season,Documentary,A generic description of the show content.,80.8
s81,TV Show,Show Title 81,Director 81,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8",United States,"January 4, 2001",2000,TV-14,5 Season,"Romance, Documentary, Action",A generic description of the show content.,96.6
s82,Movie,Show Title 82,Director 82,"Actor 0, Actor 1",South Korea,"January 14, 2024",2022,TV-14,149 min,"Thriller, Drama",A generic description of the show content.,100.0
s83,Movie,Show Title 83,Director 83,"Actor 0, Actor 1",United States,"January 25, 2004",2004,R,166 min,"Documentary, Drama, Action",A generic description of the show content.,79.8
s84,Movie,Show Title 84,Director 84,"Actor 0, Actor 1, Actor 2",India,"January 16, 2008",2007,R,103 min,"Thriller, Romance, Sci-Fi",A generic description of the show content.,78.4
s85,Movie,Show Title 85,Director 85,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",United Kingdom,"January 22, 2001",2000,TV-PG,122 min,"Romance, Thriller",A generic description of the show content.,77.0
s86,Movie,Show Title 86,Director 86,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7",United States,"January 28, 2008",2006,PG-13,121 min,Sci-Fi,A generic description of the show content.,100.0
s87,Movie,Show Title 87,Director 87,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6",India,"January 20, 2017",2016,R,86 min,Documentary,A generic description of the show content.,100.0
s88,TV Show,Show Title 88,Director 88,"Actor 0, Actor 1, Actor 2",United States,"January 1, 2000",1998,TV-PG,5 Season,"Romance, Thriller",A generic description of the show content.,67.7
s89,TV Show,Show Title 89,Director 89,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7",United Kingdom,"January 3, 2009",2009,PG-13,9 Season,Documentary,A generic description of the show content.,100.0
s90,Movie,Show Title 90,Director 90,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7",United States,"January 27, 2000",1999,R,143 min,"Action, Documentary, Sci-Fi",A generic description of the show content.,90.5
s91,Movie,Show Title 91,Director 91,"Actor 0, Actor 1, Actor 2",India,"January 9, 2015",2014,TV-14,104 min,"Documentary, Romance, Comedy",A generic description of the show content.,100.0
s92,TV Show,Show Title 92,Director 92,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8",India,"January 28, 1990",1990,R,5 Season,"Action, Documentary, Romance",A generic description of the show content.,71.0
s93,Movie,Show Title 93,Director 93,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",United States,"January 19, 2025",2024,TV-MA,128 min,"Action, Comedy",A generic description of the show content.,100.0
s94,TV Show,Show Title 94,Director 94,"Actor 0, Actor 1, Actor 2, Actor 3",India,"January 16, 2010",2010,TV-MA,8 Season,"Sci-Fi, Thriller, Romance",A generic description of the show content.,89.1
s95,Movie,Show Title 95,Director 95,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8",India,"January 1, 1998",1996,TV-MA,136 min,Documentary,A generic description of the show content.,67.4
s96,Movie,Show Title 96,Director 96,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6",United Kingdom,"January 20, 2001",1999,R,89 min,"Sci-Fi, Action",A generic description of the show content.,90.5
s97,Movie,Show Title 97,Director 97,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8",Japan,"January 28, 2026",2024,PG-13,128 min,"Romance, Sci-Fi",A generic description of the show content.,100.0
s98,Movie,Show Title 98,Director 98,"Actor 0, Actor 1, Actor 2",United States,"January 15, 2008",2008,TV-14,109 min,"Drama, Thriller, Sci-Fi",A generic description of the show content.,93.1
s99,TV Show,Show Title 99,Director 99,"Actor 0, Actor 1, Actor 2, Actor 3",United States,"January 8, 1995",1993,R,5 Season,"Action, Thriller",A generic description of the show content.,70.2
s100,Movie,Show Title 100,Director 0,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7",United Kingdom,"January 20, 2002",2000,TV-MA,102 min,Documentary,A generic description of the show content.,71.8
s101,Movie,Show Title 101,Director 1,"Actor 0, Actor 1",India,"January 26, 2005",2004,TV-14,139 min,"Action, Thriller, Sci-Fi",A generic description of the show content.,80.8
s102,Movie,Show Title 102,Director 2,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",United States,"January 15, 2019",2018,TV-MA,124 min,"Action, Romance, Thriller",A generic description of the show content.,100.0
s103,TV Show,Show Title 103,Director 3,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Japan,"January 23, 1997",1996,PG-13,4 Season,"Documentary, Action",A generic description of the show content.,73.0
s104,TV Show,Show Title 104,Director 4,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8",United Kingdom,"January 27, 2008",2007,TV-MA,1 Season,"Sci-Fi, Romance, Drama",A generic description of the show content.,100.0
s105,Movie,Show Title 105,Director 5,"Actor 0, Actor 1, Actor 2, Actor 3",United States,"January 21, 2002",2002,PG-13,159 min,"Romance, Sci-Fi",A generic description of the show content.,85.0
s106,Movie,Show Title 106,Director 6,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",India,"January 11, 2015",2013,R,173 min,Drama,A generic description of the show content.,100.0
s107,Movie,Show Title 107,Director 7,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",United States,"January 27, 2025",2024,TV-14,126 min,"Documentary, Action, Comedy",A generic description of the show content.,100.0
s108,TV Show,Show Title 108,Director 8,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",United States,"January 28, 1999",1997,R,8 Season,Comedy,A generic description of the show content.,78.1
s109,TV Show,Show Title 109,Director 9,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8, Actor 9",Japan,"January 4, 2014",2013,TV-14,2 Season,"Drama, Action",A generic description of the show content.,100.0
s110,Movie,Show Title 110,Director 10,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",United Kingdom,"January 16, 2014",2014,TV-PG,161 min,"Drama, Romance",A generic description of the show content.,86.8
s111,TV Show,Show Title 111,Director 11,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7",India,"January 4, 2004",2004,PG-13,2 Season,"Sci-Fi, Thriller, Action",A generic description of the show content.,96.7
s112,TV Show,Show Title 112,Director 12,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8, Actor 9",United States,"January 5, 2022",2021,R,2 Season,Comedy,A generic description of the show content.,100.0
s113,Movie,Show Title 113,Director 13,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7",South Korea,"January 21, 2024",2024,R,133 min,"Romance, Sci-Fi, Comedy",A generic description of the show content.,100.0
s114,Movie,Show Title 114,Director 14,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8",South Korea,"January 8, 2008",2007,PG-13,84 min,"Action, Comedy, Thriller",A generic description of the show content.,100.0
s115,TV Show,Show Title 115,Director 15,"Actor 0, Actor 1, Actor 2",United States,"January 28, 2013",2012,PG-13,1 Season,"Action, Comedy",A generic description of the show content.,100.0
s116,Movie,Show Title 116,Director 16,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",United Kingdom,"January 3, 1993",1991,TV-MA,86 min,"Comedy, Sci-Fi",A generic description of the show content.,66.2
s117,Movie,Show Title 117,Director 17,"Actor 0, Actor 1",Japan,"January 9, 2004",2004,TV-MA,122 min,Sci-Fi,A generic description of the show content.,68.3
s118,Movie,Show Title 118,Director 18,"Actor 0, Actor 1",United Kingdom,"January 12, 1997",1997,TV-PG,164 min,Comedy,A generic description of the show content.,80.9
s119,Movie,Show Title 119,Director 19,"Actor 0, Actor 1, Actor 2",United States,"January 16, 1994",1993,TV-14,96 min,"Thriller, Documentary, Drama",A generic description of the show content.,78.0
s120,Movie,Show Title 120,Director 20,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",United States,"January 15, 2024",2022,PG-13,108 min,"Drama, Romance, Documentary",A generic description of the show content.,100.0
s121,Movie,Show Title 121,Director 21,"Actor 0, Actor 1, Actor 2",India,"January 3, 2016",2015,TV-PG,134 min,"Drama, Thriller, Romance",A generic description of the show content.,94.4
s122,Movie,Show Title 122,Director 22,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8, Actor 9",United States,"January 20, 2011",2010,PG-13,128 min,"Documentary, Action, Thriller",A generic description of the show content.,100.0
s123,TV Show,Show Title 123,Director 23,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6",United States,"January 27, 2004",2003,R,7 Season,"Comedy, Thriller",A generic description of the show content.,74.5
s124,Movie,Show Title 124,Director 24,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8",United States,"January 3, 2017",2017,PG-13,120 min,"Action, Sci-Fi, Comedy",A generic description of the show content.,100.0
s125,Movie,Show Title 125,Director 25,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8, Actor 9",United States,"January 11, 2015",2013,PG-13,96 min,"Drama, Documentary, Romance",A generic description of the show content.,100.0
s126,Movie,Show Title 126,Director 26,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5",Japan,"January 12, 2017",2017,TV-PG,172 min,Action,A generic description of the show content.,100.0
s127,Movie,Show Title 127,Director 27,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6, Actor 7, Actor 8, Actor 9",United States,"January 12, 2020",2020,TV-14,108 min,Action,A generic description of the show content.,100.0
s128,Movie,Show Title 128,Director 28,"Actor 0, Actor 1",Japan,"January 6, 1992",1991,TV-14,157 min,"Sci-Fi, Romance, Action",A generic description of the show content.,66.5
s129,TV Show,Show Title 129,Director 29,"Actor 0, Actor 1, Actor 2, Actor 3",United States,"January 24, 2003",2001,PG-13,3 Season,"Romance, Thriller, Drama",A generic description of the show content.,79.5
s130,Movie,Show Title 130,Director 30,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4, Actor 5, Actor 6",India,"January 10, 2016",2014,TV-14,133 min,"Action, Comedy",A generic description of the show content.,94.5
s131,TV Show,Show Title 131,Director 31,"Actor 0, Actor 1",India,"January 22, 1995",1995,TV-14,1 Season,Comedy,A generic description of the show content.,67.2
